# 1.x 2.sin(x) 3.cos(x)
#
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000021e-02 9.999833334166664464e-03 9.999500004166652634e-01
2.000000000000000042e-02 1.999866669333308020e-02 9.998000066665777563e-01
2.999999999999999889e-02 2.999550020249566046e-02 9.995500337489875431e-01
4.000000000000000083e-02 3.998933418663416089e-02 9.992001066609779159e-01
5.000000000000000278e-02 4.997916927067833082e-02 9.987502603949662827e-01
5.999999999999999778e-02 5.996400647944459539e-02 9.982005399352041897e-01
7.000000000000000666e-02 6.994284733753276806e-02 9.975510002532795850e-01
8.000000000000000167e-02 7.991469396917269541e-02 9.968017063026194391e-01
8.999999999999999667e-02 8.987854919801104014e-02 9.959527330119942734e-01
1.000000000000000056e-01 9.983341664682815475e-02 9.950041652780258206e-01
1.100000000000000006e-01 1.097783008371748109e-01 9.939560979566968157e-01
1.199999999999999956e-01 1.197122072889193617e-01 9.928086358538662504e-01
1.300000000000000044e-01 1.296341426196948587e-01 9.915618937147880896e-01
1.400000000000000133e-01 1.395431146442364934e-01 9.902159962126371173e-01
1.499999999999999944e-01 1.494381324735992167e-01 9.887710779360422420e-01
1.600000000000000033e-01 1.593182066142459774e-01 9.872272833756269295e-01
1.700000000000000122e-01 1.691823490669960295e-01 9.855847669095607611e-01
1.799999999999999933e-01 1.790295734258241789e-01 9.838436927881214489e-01
1.900000000000000022e-01 1.888588949765005742e-01 9.820042351172703077e-01
2.000000000000000111e-01 1.986693307950612164e-01 9.800665778412416262e-01
2.099999999999999922e-01 2.084598998460995556e-01 9.780309147241482703e-01
2.200000000000000011e-01 2.182296230808693227e-01 9.758974493306055153e-01
2.300000000000000100e-01 2.279775235351884088e-01 9.736663950053748851e-01
2.399999999999999911e-01 2.377026264271345779e-01 9.713379748520295509e-01
2.500000000000000000e-01 2.474039592545229371e-01 9.689124217106447334e-01
2.600000000000000089e-01 2.570805518921551180e-01 9.663899781345132167e-01
2.700000000000000178e-01 2.667314366888311472e-01 9.637708963658905281e-01
2.800000000000000266e-01 2.763556485641137650e-01 9.610554383107708931e-01
2.899999999999999800e-01 2.859522251048355335e-01 9.582438755126971852e-01
2.999999999999999889e-01 2.955202066613395462e-01 9.553364891256059810e-01
3.099999999999999978e-01 3.050586364434434983e-01 9.523335698857133824e-01
3.200000000000000067e-01 3.145665606161177630e-01 9.492354180824408294e-01
3.300000000000000155e-01 3.240430283948683710e-01 9.460423435283870086e-01
3.400000000000000244e-01 3.334870921408144007e-01 9.427546655283461918e-01
3.500000000000000333e-01 3.428978074554513977e-01 9.393727128473788879e-01
3.599999999999999867e-01 3.522742332750899430e-01 9.358968236779348082e-01
3.699999999999999956e-01 3.616154319649619864e-01 9.323273456060344744e-01
3.800000000000000044e-01 3.709204694129826785e-01 9.286646355765102445e-01
3.900000000000000133e-01 3.801884151231614273e-01 9.249090598573129762e-01
4.000000000000000222e-01 3.894183423086505225e-01 9.210609940028851028e-01
4.100000000000000311e-01 3.986093279844229453e-01 9.171208228166051191e-01
4.199999999999999845e-01 4.077604530595701493e-01 9.130889403123082504e-01
4.299999999999999933e-01 4.168708024292107628e-01 9.089657496748850818e-01
4.400000000000000022e-01 4.259394650659996118e-01 9.047516632199633646e-01
4.500000000000000111e-01 4.349655341112302342e-01 9.004471023526768869e-01
4.600000000000000200e-01 4.439481069655197842e-01 8.960524975255251823e-01
4.700000000000000289e-01 4.528862853790683318e-01 8.915682881953289618e-01
4.799999999999999822e-01 4.617791755414828447e-01 8.869949227792841562e-01
4.899999999999999911e-01 4.706258881711580244e-01 8.823328586101214510e-01
5.000000000000000000e-01 4.794255386042030054e-01 8.775825618903727587e-01
5.100000000000000089e-01 4.881772468829074785e-01 8.727445076457512885e-01
5.200000000000000178e-01 4.968801378437367466e-01 8.678191796776498768e-01
5.300000000000000266e-01 5.055333412048469421e-01 8.628070705147610209e-01
5.400000000000000355e-01 5.141359916531130780e-01 8.577086813638241658e-01
5.500000000000000444e-01 5.226872289306592201e-01 8.525245220595056850e-01
5.600000000000000533e-01 5.311861979208833962e-01 8.472551110134161068e-01
5.700000000000000622e-01 5.396320487339693051e-01 8.419009751622686943e-01
5.799999999999999600e-01 5.480239367918735560e-01 8.364626499151869288e-01
5.899999999999999689e-01 5.563610229127837759e-01 8.309406791001635595e-01
5.999999999999999778e-01 5.646424733950353714e-01 8.253356149096783279e-01
6.099999999999999867e-01 5.728674601004812850e-01 8.196480178454795817e-01
6.199999999999999956e-01 5.810351605373050843e-01 8.138784566625338890e-01
6.300000000000000044e-01 5.891447579422695036e-01 8.080275083121518653e-01
6.400000000000000133e-01 5.971954413623921099e-01 8.020957578842925484e-01
6.500000000000000222e-01 6.051864057360395455e-01 7.960837985490558655e-01
6.600000000000000311e-01 6.131168519734337963e-01 7.899922314973650828e-01
6.700000000000000400e-01 6.209859870365597168e-01 7.838216658808492276e-01
6.800000000000000488e-01 6.287930240184685937e-01 7.775727187509279270e-01
6.900000000000000577e-01 6.365371822219679787e-01 7.712460149971065437e-01
7.000000000000000666e-01 6.442176872376911279e-01 7.648421872844883840e-01
7.099999999999999645e-01 6.518337710215366121e-01 7.583618759905081941e-01
7.199999999999999734e-01 6.593846719714731019e-01 7.518057291408950515e-01
7.299999999999999822e-01 6.668696350036978915e-01 7.451744023448704235e-01
7.399999999999999911e-01 6.742879116281450536e-01 7.384685587295879428e-01
7.500000000000000000e-01 6.816387600233341226e-01 7.316888688738208968e-01
7.600000000000000089e-01 6.889214451105513115e-01 7.248360107409052011e-01
7.700000000000000178e-01 6.961352386273567117e-01 7.179106696109434083e-01
7.800000000000000266e-01 7.032794192004102607e-01 7.109135380122773018e-01
7.900000000000000355e-01 7.103532724176078172e-01 7.038453156522360699e-01
8.000000000000000444e-01 7.173560908995227914e-01 6.967067093471653871e-01
8.100000000000000533e-01 7.242871743701425613e-01 6.894984329517469535e-01
8.200000000000000622e-01 7.311458297268959017e-01 6.822212072876134847e-01
8.300000000000000711e-01 7.379313711099627637e-01 6.748757600712670390e-01
8.399999999999999689e-01 7.446431199708593018e-01 6.674628258413081161e-01
8.499999999999999778e-01 7.512804051402927064e-01 6.599831458849821919e-01
8.599999999999999867e-01 7.578425628952769610e-01 6.524374681640519036e-01
8.699999999999999956e-01 7.643289370255050841e-01 6.448265472400012133e-01
8.800000000000000044e-01 7.707388788989693040e-01 6.371511441985802104e-01
8.900000000000000133e-01 7.770717475268238417e-01 6.294120265736968811e-01
9.000000000000000222e-01 7.833269096274834142e-01 6.216099682706643925e-01
9.100000000000000311e-01 7.895037396899504678e-01 6.137457494888115539e-01
9.200000000000000400e-01 7.956016200363660307e-01 6.058201566434627816e-01
9.300000000000000488e-01 8.016199408837771934e-01 5.978339822872982268e-01
9.400000000000000577e-01 8.075581004051143319e-01 5.897880250310981731e-01
9.500000000000000666e-01 8.134155047893737445e-01 5.816830894638834737e-01
9.599999999999999645e-01 8.191915683009982629e-01 5.735199860724566889e-01
9.699999999999999734e-01 8.248857133384500662e-01 5.652995311603543627e-01
9.799999999999999822e-01 8.304973704919704769e-01 5.570225467662173191e-01
9.899999999999999911e-01 8.360259786005205251e-01 5.486898605815875296e-01
1.000000000000000000e+00 8.414709848078965049e-01 5.403023058681397650e-01
1.010000000000000009e+00 8.468318446180151948e-01 5.318607213743554718e-01
1.020000000000000018e+00 8.521080219493629704e-01 5.233659512516495305e-01
1.030000000000000027e+00 8.572989891886033664e-01 5.148188449699553360e-01
1.040000000000000036e+00 8.624042272433384282e-01 5.062202572327784145e-01
1.050000000000000044e+00 8.674232255940169667e-01 4.975710478917269586e-01
1.060000000000000053e+00 8.723554823449862772e-01 4.888720818605274965e-01
1.070000000000000062e+00 8.772005042746816583e-01 4.801242290285340775e-01
1.080000000000000071e+00 8.819578068849475150e-01 4.713283641737399665e-01
1.090000000000000080e+00 8.866269144494872689e-01 4.624853668753007851e-01
1.100000000000000089e+00 8.912073600614354163e-01 4.535961214255773144e-01
1.110000000000000098e+00 8.956986856800476238e-01 4.446615167417067860e-01
1.120000000000000107e+00 9.001004421765050889e-01 4.356824462767120987e-01
1.130000000000000115e+00 9.044121893788259481e-01 4.266598079301572310e-01
1.140000000000000124e+00 9.086334961158832879e-01 4.175945039583579543e-01
1.150000000000000133e+00 9.127639402605211005e-01 4.084874408841571714e-01
1.159999999999999920e+00 9.168031087717668504e-01 3.993395294062732082e-01
1.169999999999999929e+00 9.207505977361356564e-01 3.901516843082302732e-01
1.179999999999999938e+00 9.246060124080203169e-01 3.809248243668818534e-01
1.189999999999999947e+00 9.283689672491666212e-01 3.716598722605329863e-01
1.199999999999999956e+00 9.320390859672262884e-01 3.623577544766736214e-01
1.209999999999999964e+00 9.356160015533859786e-01 3.530194012193303976e-01
1.219999999999999973e+00 9.390993563190676019e-01 3.436457463160470516e-01
1.229999999999999982e+00 9.424888019316974841e-01 3.342377271245026149e-01
1.239999999999999991e+00 9.457839994495389480e-01 3.247962844387762282e-01
1.250000000000000000e+00 9.489846193555862008e-01 3.153223623952686738e-01
1.260000000000000009e+00 9.520903415905157541e-01 3.058169083782893427e-01
1.270000000000000018e+00 9.551008555846922654e-01 2.962808729253187390e-01
1.280000000000000027e+00 9.580158602892249187e-01 2.867152096319555143e-01
1.290000000000000036e+00 9.608350642060726754e-01 2.771208750565575807e-01
1.300000000000000044e+00 9.635581854171929583e-01 2.674988286245873481e-01
1.310000000000000053e+00 9.661849516127339887e-01 2.578500325326695819e-01
1.320000000000000062e+00 9.687151001182652266e-01 2.481754516523728971e-01
1.330000000000000071e+00 9.711483779210445810e-01 2.384760534337231341e-01
1.340000000000000080e+00 9.734845416953193942e-01 2.287528078084593852e-01
1.350000000000000089e+00 9.757233578266590879e-01 2.190066870930414966e-01
1.360000000000000098e+00 9.778646024353162547e-01 2.092386658914192621e-01
1.370000000000000107e+00 9.799080613986141941e-01 1.994497209975728547e-01
1.380000000000000115e+00 9.818535303723597840e-01 1.896408312978342392e-01
1.390000000000000124e+00 9.837008148112765804e-01 1.798129776729993634e-01
1.400000000000000133e+00 9.854497299884602546e-01 1.699671429002408141e-01
1.409999999999999920e+00 9.871001010138503728e-01 1.601043115548312634e-01
1.419999999999999929e+00 9.886517628517197398e-01 1.502254699116858383e-01
1.429999999999999938e+00 9.901045603371777526e-01 1.403316058467367344e-01
1.439999999999999947e+00 9.914583481916864338e-01 1.304237087381455440e-01
1.449999999999999956e+00 9.927129910375884769e-01 1.205027693673666189e-01
1.459999999999999964e+00 9.938683634116448617e-01 1.105697798200695886e-01
1.469999999999999973e+00 9.949243497775809297e-01 1.006257333869317316e-01
1.479999999999999982e+00 9.958808445376400309e-01 9.067162446430968026e-02
1.489999999999999991e+00 9.967377520431434101e-01 8.070844845480062979e-02
1.500000000000000000e+00 9.974949866040544455e-01 7.073720166770290640e-02
1.510000000000000009e+00 9.981524724975481266e-01 6.075888121938589903e-02
1.520000000000000018e+00 9.987101439755829979e-01 5.077448493357918091e-02
1.530000000000000027e+00 9.991679452714760101e-01 4.078501124159103486e-02
1.540000000000000036e+00 9.995258306054790598e-01 3.079145908246612093e-02
1.550000000000000044e+00 9.997837641893569938e-01 2.079482780309242773e-02
1.560000000000000053e+00 9.999417202299663021e-01 1.079611705826739182e-02
1.570000000000000062e+00 9.999996829318346103e-01 7.963267107332633451e-04
1.580000000000000071e+00 9.999576464987400826e-01 -9.203543268808336494e-03
1.590000000000000080e+00 9.998156151342908471e-01 -1.920249290169264919e-02
1.600000000000000089e+00 9.995736030415051099e-01 -2.919952230128881540e-02
1.610000000000000098e+00 9.992316344213905133e-01 -3.919363177298770817e-02
1.620000000000000107e+00 9.987897434705239608e-01 -4.918382191417055432e-02
1.630000000000000115e+00 9.982479743776324632e-01 -5.916909371414835750e-02
1.640000000000000124e+00 9.976063813191736740e-01 -6.914844865406216678e-02
1.650000000000000133e+00 9.968650284539188888e-01 -7.912088880673408264e-02
1.660000000000000142e+00 9.960239899165367339e-01 -8.908541693645918857e-02
1.669999999999999929e+00 9.950833498101802066e-01 -9.904103659872801058e-02
1.679999999999999938e+00 9.940432021980759592e-01 -1.089867522398711153e-01
1.689999999999999947e+00 9.929036510941184890e-01 -1.189215692966122256e-01
1.699999999999999956e+00 9.916648104524685703e-01 -1.288444942955246364e-01
1.709999999999999964e+00 9.903268041561580359e-01 -1.387545349523775506e-01
1.719999999999999973e+00 9.888897660047014648e-01 -1.486507002713636505e-01
1.729999999999999982e+00 9.873538397007164402e-01 -1.585320006441977569e-01
1.739999999999999991e+00 9.857191788355534889e-01 -1.683974479490770171e-01
1.750000000000000000e+00 9.839859468739369230e-01 -1.782460556494920856e-01
1.760000000000000009e+00 9.821543171376184711e-01 -1.880768388928800994e-01
1.770000000000000018e+00 9.802244727880454755e-01 -1.978888146091090094e-01
1.780000000000000027e+00 9.781966068080446552e-01 -2.076810016087838051e-01
1.790000000000000036e+00 9.760709219825242089e-01 -2.174524206813646388e-01
1.800000000000000044e+00 9.738476308781951474e-01 -2.272020946930871088e-01
1.810000000000000053e+00 9.715269558223152968e-01 -2.369290486846746813e-01
1.820000000000000062e+00 9.691091288804563053e-01 -2.466323099688340348e-01
1.830000000000000071e+00 9.665943918332975393e-01 -2.563109082275227268e-01
1.840000000000000080e+00 9.639829961524480906e-01 -2.659638756089803824e-01
1.850000000000000089e+00 9.612752029752998917e-01 -2.755902468245129411e-01
1.860000000000000098e+00 9.584712830789141602e-01 -2.851890592450208595e-01
1.870000000000000107e+00 9.555715168529439474e-01 -2.947593529972610260e-01
1.880000000000000115e+00 9.525761942715953445e-01 -3.043001710598334242e-01
1.890000000000000124e+00 9.494856148646304561e-01 -3.138105593588824682e-01
1.900000000000000133e+00 9.463000876874144707e-01 -3.232895668635035746e-01
1.910000000000000142e+00 9.430199312900104935e-01 -3.327362456808453661e-01
1.919999999999999929e+00 9.396454736853249168e-01 -3.421496511508981819e-01
1.929999999999999938e+00 9.361770523163061020e-01 -3.515288419409598464e-01
1.939999999999999947e+00 9.326150140222004836e-01 -3.608728801397671493e-01
1.949999999999999956e+00 9.289597150038693130e-01 -3.701808313512868764e-01
1.959999999999999964e+00 9.252115207881682624e-01 -3.794517647881545108e-01
1.969999999999999973e+00 9.213708061913954417e-01 -3.886847533647520003e-01
1.979999999999999982e+00 9.174379552818098249e-01 -3.978788737899159877e-01
1.989999999999999991e+00 9.134133613412251940e-01 -4.070332066592655118e-01
2.000000000000000000e+00 9.092974268256817094e-01 -4.161468365471424069e-01
2.010000000000000231e+00 9.050905633252008808e-01 -4.252188520981525777e-01
2.020000000000000018e+00 9.007931915226272679e-01 -4.342483461183004323e-01
2.030000000000000249e+00 8.964057411515597984e-01 -4.432344156657093137e-01
2.040000000000000036e+00 8.919286509533795870e-01 -4.521761621409119414e-01
2.049999999999999822e+00 8.873623686333754756e-01 -4.610726913767127511e-01
2.060000000000000053e+00 8.827073508159740678e-01 -4.699231137276022041e-01
2.069999999999999840e+00 8.779640629990781431e-01 -4.787265441587197912e-01
2.080000000000000071e+00 8.731329795075164490e-01 -4.874821023343594018e-01
2.089999999999999858e+00 8.682145834456126421e-01 -4.961889127059988525e-01
2.100000000000000089e+00 8.632093666488737105e-01 -5.048461045998575702e-01
2.109999999999999876e+00 8.581178296348088708e-01 -5.134528123039594494e-01
2.120000000000000107e+00 8.529404815528761619e-01 -5.220081751547073212e-01
2.129999999999999893e+00 8.476778401335698376e-01 -5.305113376229447786e-01
2.140000000000000124e+00 8.423304316366456712e-01 -5.389614493995115163e-01
2.149999999999999911e+00 8.368987907984977159e-01 -5.473576654802709829e-01
2.160000000000000142e+00 8.313834607786830810e-01 -5.556991462506126744e-01
2.169999999999999929e+00 8.257849931056081560e-01 -5.639850575694100865e-01
